index;x;y;z
0;0.798767;-0.306259;-0.509537
1;0.818008;-0.281647;-0.517517
2;0.810471;-0.283676;-0.508423
3;0.795227;-0.286530;-0.515503
4;0.804962;-0.288422;-0.509399
5;0.808655;-0.279434;-0.513092
6;0.792938;-0.290878;-0.511230
7;0.794815;-0.298447;-0.514420
8;0.814850;-0.260559;-0.515030
9;0.803207;-0.300705;-0.512909
10;0.820862;-0.277023;-0.503036
11;0.820740;-0.287781;-0.496490
12;0.829544;-0.281738;-0.492798
13;0.822357;-0.285629;-0.491837
14;0.830643;-0.272537;-0.507797
15;0.814331;-0.272888;-0.501373
16;0.800125;-0.287323;-0.497345
17;0.792389;-0.279449;-0.526703
18;0.808914;-0.284760;-0.518387
19;0.804810;-0.278152;-0.499893
20;0.827057;-0.268784;-0.504242
21;0.843506;-0.256851;-0.486115
22;0.825455;-0.266922;-0.492477
23;0.815872;-0.266769;-0.497192
24;0.830719;-0.264099;-0.505157
25;0.814178;-0.263123;-0.496445
26;0.806213;-0.259918;-0.500687
27;0.812164;-0.270676;-0.483292
28;0.831039;-0.261215;-0.490784
29;0.835983;-0.259888;-0.494919
30;0.819168;-0.270432;-0.495682
31;0.828156;-0.262344;-0.486298
32;0.828125;-0.262802;-0.500351
33;0.814331;-0.262314;-0.496078
34;0.819595;-0.262680;-0.498016
35;0.830643;-0.259521;-0.490417
36;0.801926;-0.270172;-0.504227
37;0.835892;-0.258743;-0.501770
38;0.850891;-0.260422;-0.472488
39;0.815247;-0.271225;-0.485886
40;0.822464;-0.260391;-0.493347
41;0.823578;-0.262451;-0.499344
42;0.828979;-0.262878;-0.493973
43;0.819275;-0.262238;-0.500351
44;0.819855;-0.260880;-0.495026
45;0.834213;-0.262878;-0.491074
46;0.817642;-0.263565;-0.495804
47;0.830200;-0.264542;-0.491959
48;0.826996;-0.261505;-0.495789
49;0.824448;-0.262894;-0.494141
50;0.823486;-0.260391;-0.496750
51;0.825699;-0.265106;-0.495941
52;0.825699;-0.259979;-0.496567
53;0.824249;-0.260635;-0.494049
54;0.824646;-0.264603;-0.493057
55;0.828247;-0.257751;-0.495911
56;0.824356;-0.264145;-0.493698
57;0.822083;-0.261780;-0.495499
58;0.832413;-0.259659;-0.493088
59;0.817886;-0.262726;-0.493225
60;0.821945;-0.267029;-0.494324
61;0.830551;-0.257553;-0.495224
62;0.826492;-0.261703;-0.491318
63;0.823669;-0.263657;-0.493393
64;0.824249;-0.259491;-0.497345
65;0.828323;-0.261276;-0.493393
66;0.822281;-0.265762;-0.495285
67;0.828476;-0.258820;-0.492401
68;0.822266;-0.259018;-0.494446
69;0.828110;-0.262253;-0.490891
70;0.826355;-0.258942;-0.495895
71;0.826263;-0.263718;-0.495743
72;0.824203;-0.259903;-0.492523
73;0.829391;-0.260681;-0.494797
74;0.824326;-0.259567;-0.492783
75;0.825287;-0.260559;-0.490616
76;0.828995;-0.257568;-0.494827
