index;x;y;z
0;0.518875;0.865219;-0.105392
1;0.467590;0.866348;-0.105820
2;0.474670;0.872147;-0.103958
3;0.458817;0.877960;-0.102432
4;0.461121;0.863907;-0.092026
5;0.500565;0.893158;-0.138062
6;0.462936;0.831512;-0.079193
7;0.505737;0.891693;-0.152145
8;0.495117;0.848694;-0.165466
9;0.573700;0.877914;-0.199722
10;0.600159;0.796631;-0.227921
11;0.554688;0.850647;-0.295456
12;0.703384;0.877274;-0.391617
13;0.318253;1.015457;-0.445114
14;0.342468;0.392105;0.084610
15;0.284973;0.727829;-0.334488
16;0.440079;0.572891;-0.383469
17;0.845764;0.853470;-0.599854
18;0.490280;0.604019;-0.339417
19;0.650818;1.199738;-0.362747
20;0.573776;0.705399;-0.048279
21;0.433014;0.636490;-0.062775
22;0.978256;0.785919;-0.231583
23;0.629547;0.588196;-0.194977
24;0.467484;0.679352;-0.365662
25;0.554733;0.493347;-0.295975
26;0.266205;0.701492;-0.192566
27;0.230942;0.816559;-0.068878
28;0.513641;0.425140;-0.149902
29;1.077881;0.631363;-0.242493
30;0.809967;0.719849;-0.360306
31;0.672882;1.556671;-0.740433
32;0.519363;1.488785;-0.455200
33;0.180588;0.468842;-0.409103
34;0.006165;0.398132;-0.280441
35;-0.087463;-0.014679;-0.215836
36;0.248093;-0.009216;-0.269348
37;1.205261;0.765762;-0.127380
38;1.119827;0.883682;-0.511032
39;0.246140;0.604416;-0.342133
40;0.397064;1.338196;-1.023026
41;0.720795;1.620468;-0.189240
42;1.277328;1.053116;0.005737
43;0.763123;0.560608;-0.114349
44;0.640549;0.924652;0.116577
45;0.340500;0.499969;-0.211960
46;0.434753;0.444229;-0.397461
47;0.453629;0.860748;-0.111328
48;0.362961;0.509506;-0.053284
49;0.837158;0.535995;-0.246643
50;0.769257;0.633331;-0.389389
51;0.749512;0.995056;-0.805496
52;0.594604;2.045609;-0.405731
53;0.259354;0.779770;-0.449966
54;0.253098;0.075058;-0.083908
55;0.150848;-0.115036;-0.202240
56;-0.049316;-0.090256;-0.023972
57;1.043915;0.915604;-0.106277
58;0.678177;1.291183;-1.140442
59;0.467270;0.253845;-0.294891
60;0.863800;2.251236;-0.736511
61;1.126678;1.037018;0.110931
62;0.238678;0.351105;0.083084
63;0.196777;0.720520;-0.235199
64;0.730682;0.583313;-0.408936
65;0.654556;0.449493;-0.154861
66;0.046295;0.362045;-0.233734
67;0.764160;0.529602;-0.311874
68;1.297302;1.412949;-0.840973
69;0.728317;1.236511;-0.539932
70;0.249130;0.204681;-0.382751
71;0.250656;0.505081;-0.295578
72;0.241699;0.230438;-0.082474
73;0.205704;0.261047;0.014832
74;1.304626;1.108734;-0.272125
75;1.010880;0.775299;-0.698730
76;0.647537;0.577850;-0.324265
77;0.864624;1.028381;-0.250977
78;0.580170;1.731857;-0.110382
79;0.963684;1.778275;0.295593
80;0.691315;0.738342;0.163223
81;0.048798;0.699783;0.218277
82;0.498810;0.703659;-0.161316
83;0.858932;0.679184;0.127213
84;0.721848;0.597809;-0.314362
85;0.663269;0.821579;-0.037476
86;0.835846;0.604889;-0.257782
87;0.388428;1.893845;-0.103668
88;-0.099915;1.466919;-0.236282
89;0.871750;0.893890;-0.199905
90;0.407867;0.303635;0.056900
91;0.031662;0.050751;0.042404
92;0.015732;0.254059;-0.024521
93;0.332855;0.200546;0.185410
94;1.040009;0.646408;-0.295334
95;1.389801;0.824661;-1.047745
96;0.463409;0.741425;-0.083633
97;0.627090;0.899902;-0.360275
98;0.999557;0.930283;0.021988
99;0.533783;1.699615;-0.063599
100;0.821060;1.290970;0.101166
101;0.489609;1.137985;0.052338
102;0.374619;0.727493;0.341766
103;0.649323;0.528824;-0.397339
104;0.868103;0.705414;0.209930
105;0.882675;0.307281;-0.350052
106;0.607819;0.765991;0.057861
107;1.000092;0.603958;-0.114059
108;1.064636;1.356522;-0.674789
109;-0.024521;2.044861;0.284180
110;0.571594;1.375793;-0.464188
111;0.971115;0.544540;0.028870
112;0.458206;-0.028778;0.016022
113;-0.120255;-0.346741;0.091888
114;-0.354675;-0.159042;0.067474
115;0.484909;0.579544;-0.401932
116;1.250717;1.036209;-0.190033
117;0.378006;0.408813;-0.688934
118;0.728516;1.826004;-1.170227
119;0.227585;1.480042;-0.982330
